City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Santa Cruz,BO,-17.8,-63.1667,89.65,58,75,14.97,broken clouds
297,Saldanha,ZA,-33.0117,17.9442,64.0,79,39,9.95,scattered clouds
298,Beloha,MG,-25.1667,45.05,74.12,85,1,19.04,clear sky
299,Ilebo,CD,-4.3167,20.5833,67.59,99,100,1.7,overcast clouds
300,Petropavl,KZ,54.8753,69.1628,18.75,84,92,13.38,overcast clouds
301,Esperance,AU,-33.8667,121.9,63.32,76,1,18.12,clear sky
302,Batagay,RU,67.6333,134.6333,-33.34,100,85,1.32,overcast clouds
303,Ust-Ishim,RU,57.6935,71.1665,22.1,89,100,10.49,overcast clouds
304,Pavlovskiy,RU,57.8424,54.8436,26.02,99,100,3.11,overcast clouds
305,Tual,ID,-5.6667,132.75,81.82,78,97,13.73,overcast clouds
306,Visnes,NO,59.3556,5.2242,46.58,93,100,17.27,drizzle
307,Shima,CN,24.4478,117.8111,53.62,90,100,3.94,overcast clouds
308,Lityn,UA,49.3251,28.0809,19.17,94,97,10.56,overcast clouds
309,Valparaiso,CL,-33.0393,-71.6273,71.24,63,40,13.8,scattered clouds
310,Paka,MY,4.6374,103.4368,80.53,83,95,5.75,overcast clouds
311,Sandwick,GB,60.0,-1.25,42.62,81,75,40.29,broken clouds
312,Leh,IN,34.1667,77.5833,10.38,97,100,1.9,light snow
313,Port-De-Bouc,FR,43.4,4.9833,55.96,87,100,4.61,overcast clouds
314,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,74,20,2.3,few clouds
315,Fortuna,US,40.5982,-124.1573,49.93,83,100,1.01,overcast clouds
316,Hay River,CA,60.8156,-115.7999,-25.62,75,20,5.75,few clouds
317,Broome,US,42.2506,-75.833,39.0,85,100,1.99,mist
318,Wanaka,NZ,-44.7,169.15,51.12,94,100,1.99,light rain
319,Hovd,MN,48.0056,91.6419,-8.75,91,79,3.31,broken clouds
320,Saint George,US,37.1041,-113.5841,41.63,24,0,1.01,clear sky
321,Mahebourg,MU,-20.4081,57.7,80.89,89,75,25.32,broken clouds
322,Hobyo,SO,5.3505,48.5268,77.7,71,38,19.46,scattered clouds
323,La Plata,AR,-34.9215,-57.9545,81.99,67,100,1.25,overcast clouds
324,Nanortalik,GL,60.1432,-45.2371,29.86,69,100,17.16,light snow
325,Dauriya,RU,49.9333,116.8667,-24.57,99,13,1.74,few clouds
326,Kaihua,CN,23.3687,104.28,43.88,95,28,4.68,scattered clouds
327,Berlevag,NO,70.8578,29.0864,22.95,74,75,6.91,light snow
328,Ulaangom,MN,49.9811,92.0667,-21.95,86,23,3.53,few clouds
329,Alta Floresta,BR,-9.8756,-56.0861,89.42,58,40,4.61,scattered clouds
330,Westport,US,41.1415,-73.3579,45.82,94,100,1.52,light rain
331,Debre Zeyit,ET,8.75,38.9833,63.54,38,72,10.83,broken clouds
332,Dhidhdhoo,MV,6.8833,73.1,80.89,72,4,4.5,clear sky
333,Ponta Do Sol,PT,32.6667,-17.1,68.0,74,82,7.49,broken clouds
334,Portland,US,45.5234,-122.6762,46.62,92,100,1.01,light intensity drizzle
335,San Quintin,MX,30.4833,-115.95,59.56,48,3,6.71,clear sky
336,Yarada,IN,17.65,83.2667,73.72,83,40,2.3,mist
337,Dwarka,IN,22.2394,68.9678,70.02,46,1,9.89,clear sky
338,Santa Rosa,PH,14.3122,121.1114,77.11,80,64,6.55,broken clouds
339,Meulaboh,ID,4.1363,96.1285,75.83,87,98,5.21,overcast clouds
340,West Bend,US,43.4253,-88.1834,17.11,65,0,7.0,clear sky
341,Rorvik,NO,64.8621,11.2373,26.71,63,0,21.85,light snow
342,Nantucket,US,41.2835,-70.0995,48.31,93,75,5.75,mist
343,Garowe,SO,8.4054,48.4845,73.15,34,4,18.52,clear sky
344,Khorramshahr,IR,30.4397,48.1664,57.16,67,0,2.3,clear sky
345,Lebanon,US,36.2081,-86.2911,43.16,89,100,3.44,mist
346,Kushiro,JP,42.975,144.3747,14.74,87,73,7.0,broken clouds
347,Uvinza,TZ,-5.1036,30.3911,68.83,92,100,1.21,light rain
348,Camacha,PT,33.0833,-16.3333,64.53,82,40,9.22,scattered clouds
